id,equipment,number,capacity,Abdominal,Adductor Brevis,Adductor Longus,Adductor Magnus,Anconeus,Anterior Deltoids (Front shoulder),Arm,Back,Biceps Brachii,Biceps Femoris,Brachialis,Brachioradialis,Calf Muscles,Calves (Gastrocnemius and Soleus),Chest,Coracobrachialis,"Deltoids (Anterior, Lateral, and Posterior)",Erector Spinae,Erector Spinae (Spinalis),Extensor Digitorum Longus,Extensor Hallucis Longus,External Obliques,Flexor Digitorum Longus,Flexor Hallucis Longus,Forearm muscles (Flexors and Extensors),Gastrocnemius,Gastrocnemius (Lateral head),Gastrocnemius (Medial head),Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Gracilis,"Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus)",Hip Abductors,Hip Adductors,Hip Flexors,Iliopsoas,Infraspinatus,Internal Obliques,Internal and External Intercostals,Internal and External Obliques,Lateral Deltoid,Latissimus Dorsi,Leg,Levator Scapulae,Lower Back (Erector Spinae),Middle and Lower Trapezius,Obliques,Pectoralis Major,Pectoralis Major (Clavicular Head),Pectoralis Major (Sternal Head),Pectoralis Minor,Peroneals,Peroneus Brevis,Peroneus Longus,Peroneus Tertius,Plantaris,Popliteus,Posterior Deltoid,Quadratus Lumborum,"Quadriceps (Rectus Femoris, Vastus Lateralis, Vastus Medialis, Vastus Intermedius)",Rectus Abdominis,Rectus Femoris,Rhomboid Major,Rhomboid Minor,Rhomboids,Sartorius,Semimembranosus,Semitendinosus,Serratus Anterior (Upper side of ribs),Shoulder,Soleus,Subscapularis,Supraspinatus,Tensor Fasciae Latae,Teres Major,Teres Minor,Tibialis Anterior,Transverse Abdominis,Trapezius,Trapezius (lower fibers),Trapezius (middle and lower fibers),Triceps Brachii (Back of upper arm),Triceps Brachii (Long Head),Vastus Intermedius,Vastus Lateralis,Vastus Medialis,remark
12,multi press machine,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,
13,inner_outer thigh,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,leg press_calf extension,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,lying leg curl,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,pulldown_seated row,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
17,functional trainer,2,2,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,
18,olympic bench,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
19,preacher curl slate,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,leg extension,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,
21,leg curl,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
